state,year_month,avg_covid_uti,avg_covid_cli,total_deaths
MARANHÃO,2022-11,0.28,1.33,0
TOCANTINS,2022-11,0.00,0.26,0
PARÁ,2022-11,0.17,1.28,84
SÃO PAULO,2022-12,1.34,3.52,47
MINAS GERAIS,2022-12,0.65,2.13,112
SANTA CATARINA,2022-12,0.61,1.88,796
PIAUÍ,2022-12,2.83,8.15,7
ESPÍRITO SANTO,2022-12,5.18,11.49,18
BAHIA,2022-12,0.07,0.35,0
PARANÁ,2022-12,1.68,2.28,17
RIO GRANDE DO SUL,2022-12,0.38,1.48,13
GOIÁS,2022-12,0.00,0.00,0
SERGIPE,2022-12,3.58,5.62,7
CEARÁ,2022-12,0.35,2.17,8
RIO DE JANEIRO,2022-12,5.06,2.84,41
AMAZONAS,2022-12,0.00,0.17,50
PERNAMBUCO,2022-12,8.17,4.13,73
AMAPÁ,2022-12,0.03,1.35,0
RONDÔNIA,2022-12,0.01,0.18,11
MATO GROSSO,2022-12,0.22,1.95,4
PARAÍBA,2022-12,4.39,2.32,17
RIO GRANDE DO NORTE,2022-12,0.02,1.44,0
MARANHÃO,2022-12,0.14,1.67,3
PARÁ,2022-12,0.00,1.76,103
ALAGOAS,2022-12,0.65,0.77,14
DISTRITO FEDERAL,2022-12,3.90,10.03,6
TOCANTINS,2022-12,0.00,0.33,0
ACRE,2022-12,0.00,2.00,0
MATO GROSSO DO SUL,2022-11,0.00,1.00,0
MATO GROSSO DO SUL,2022-12,0.77,2.58,3
